Rv0001,1,1524,1523,+,180.34,1
,,,,,,,Rv0001,180.34,
Rv0002 - EBG00000313329,2052,10960,8908,+,70.25,7
,,,,,,,Rv0002,83.75,
,,,,,,,Rv0003,45.16,104.3
,,,,,,,Rv0004,47.79,
,,,,,,,Rv0005,131.2,51.61
,,,,,,,Rv0006,83.15,80.57
,,,,,,,Rv0007,38.99,81.26
,,,,,,,EBG00000313329,62.37,32.85
EBG00000313365,11112,11184,72,+,27.65,1
,,,,,,,EBG00000313365,27.65,
Rv0008c,11874,12311,437,-,20.91,1
,,,,,,,Rv0008c,20.91,
Rv0009,12468,13016,548,+,184.57,1
,,,,,,,Rv0009,184.57,
Rv0010c - Rv0011c,13133,13995,862,-,125.3,2
,,,,,,,Rv0010c,85.2,
,,,,,,,Rv0011c,174.8,115.89
Rv0012 - Rv0013,14089,15612,1523,+,45.35,2
,,,,,,,Rv0012,30.19,
,,,,,,,Rv0013,74.94,30.92
Rv0014c - Rv0020c,15590,25444,9854,-,81.23,7
,,,,,,,Rv0014c,42.01,
,,,,,,,Rv0015c,49.1,
,,,,,,,Rv0016c,65.47,
,,,,,,,Rv0017c,37.4,
,,,,,,,Rv0018c,52.21,
,,,,,,,Rv0019c,78.79,102.48
,,,,,,,Rv0020c,182.3,121.32
EBG00000313373,25644,25726,82,+,58.27,1
,,,,,,,EBG00000313373,58.27,
Rv0021c,25913,26881,968,-,18.83,1
,,,,,,,Rv0021c,18.83,
Rv0022c,27023,27442,419,-,NOT EXPRESSED,1.61
Rv0023 - Rv0028,27595,31819,4224,+,24.58,6
,,,,,,,Rv0023,18.33,
,,,,,,,Rv0024,16.36,
,,,,,,,Rv0025,34.42,23.42
,,,,,,,Rv0026,12.71,30.16
,,,,,,,Rv0027,25.59,18.23
,,,,,,,Rv0028,43.83,22.75
Rv0029 - Rv0035,32057,38947,6890,+,13.16,7
,,,,,,,Rv0029,18.32,
,,,,,,,Rv0030,20.69,7.76
,,,,,,,Rv0031,18.62,21.9
,,,,,,,Rv0032,8.41,4.35
,,,,,,,Rv0033,7.29,
,,,,,,,Rv0034,9.22,
,,,,,,,Rv0035,15.08,
Rv0036c - Rv0037c,39056,41202,2146,-,27.44,2
,,,,,,,Rv0036c,38.84,
,,,,,,,Rv0037c,21.22,22.25
Rv0038,41304,41912,608,+,76.63,1
,,,,,,,Rv0038,76.63,
Rv0039c - Rv0040c,42004,43365,1361,-,96.67,2
,,,,,,,Rv0039c,53.17,
,,,,,,,Rv0040c,189.29,47.56
Rv0041,43562,46471,2909,+,19.83,1
,,,,,,,Rv0041,19.83,
Rv0042c - Rv0045c,46581,49939,3358,-,17.34,4
,,,,,,,Rv0042c,29.47,
,,,,,,,Rv0043c,13.43,17.24
,,,,,,,Rv0044c,10.98,18.42
,,,,,,,Rv0045c,23.33,8.5
Rv0046c,50021,51727,1706,-,121.7,1
,,,,,,,Rv0046c,121.7,
Rv0047c,51185,51727,542,-,62.58,1
,,,,,,,Rv0047c,62.58,
Rv0048c,51828,52697,869,-,8.58,1
,,,,,,,Rv0048c,8.58,
Rv0049 - Rv0051,52831,57378,4547,+,49.93,3
,,,,,,,Rv0049,84.39,
,,,,,,,Rv0050,53.5,44.04
,,,,,,,Rv0051,17.77,
Rv0052 - Rv0060,57410,64967,7557,+,57.11,9
,,,,,,,Rv0052,27.03,
,,,,,,,Rv0053,110.02,73.26
,,,,,,,Rv0054,49.96,73.68
,,,,,,,Rv0055,71.42,43.52
,,,,,,,Rv0056,75.77,78.76
,,,,,,,Rv0057,37.43,36.03
,,,,,,,Rv0058,47.14,
,,,,,,,Rv0059,31.46,60.78
,,,,,,,Rv0060,62.64,34.88
Rv0061c,65012,65350,338,-,102.52,1
,,,,,,,Rv0061c,102.52,
Rv0062 - Rv0063,65552,68362,2810,+,14.66,2
,,,,,,,Rv0062,10.6,
,,,,,,,Rv0063,21.31,12.06
Rv0064 - Rv0065,68620,72222,3602,+,41.65,3
,,,,,,,Rv0064,54.35,
,,,,,,,Rv0064A,26.03,21.8
,,,,,,,Rv0065,64.43,
Rv0066c - Rv0067c,72274,75198,2924,-,19.44,2
,,,,,,,Rv0066c,29.55,
,,,,,,,Rv0067c,13.01,15.75
Rv0068,75301,76212,911,+,10.3,1
,,,,,,,Rv0068,10.3,
Rv0069c - Rv0070c,76237,78896,2659,-,23.02,2
,,,,,,,Rv0069c,29.95,
,,,,,,,Rv0070c,16.09,
Rv0071 - Rv0075,79486,85168,5682,+,30.66,5
,,,,,,,Rv0071,20.93,
,,,,,,,Rv0072,25.3,69.93
,,,,,,,Rv0073,28.75,35.33
,,,,,,,Rv0074,21.29,15.18
,,,,,,,Rv0075,27.18,32.08
Rv0076c - Rv0077c,85183,86466,1283,-,29.79,2
,,,,,,,Rv0076c,47.16,
,,,,,,,Rv0077c,24.31,17.89
Rv0078,86528,87133,605,+,10.52,1
,,,,,,,Rv0078,10.52,
Rv0078A - Rv0078B,87208,88004,796,-,180.81,2
,,,,,,,Rv0078A,110.23,
,,,,,,,Rv0078B,251.38,
Rv0079,88204,89480,1276,+,1138.03,1
,,,,,,,Rv0079,1138.03,
Rv0080,89022,89480,458,+,451.86,1
,,,,,,,Rv0080,451.86,
Rv0081 - Rv0084,89575,93278,3703,+,16.51,4
,,,,,,,Rv0081,29.52,
,,,,,,,Rv0082,18.13,30.4
,,,,,,,Rv0083,4.21,
,,,,,,,Rv0084,8.78,8.0
Rv0085 - Rv0087,93289,96892,3603,+,4.31,3
,,,,,,,Rv0085,5.6,
,,,,,,,Rv0086,5.04,
,,,,,,,Rv0087,2.29,
Rv0088,96927,97601,674,+,60.94,1
,,,,,,,Rv0088,60.94,
Rv0089 - Rv0090,97758,99250,1492,+,5.69,2
,,,,,,,Rv0089,9.8,
,,,,,,,Rv0090,3.17,4.1
Rv0091 - Rv0092,99684,102868,3184,+,15.95,2
,,,,,,,Rv0091,7.91,
,,,,,,,Rv0092,23.08,16.85
Rv0093c,102815,103663,848,-,29.15,1
,,,,,,,Rv0093c,29.15,
Rv0094c - Rv0095c,103710,105215,1505,-,7.09,2
,,,,,,,Rv0094c,7.68,
,,,,,,,Rv0095c,10.11,3.47
Rv0096,105324,109778,4454,+,2.98,1
,,,,,,,Rv0096,2.98,
Rv0097 - Rv0102,106734,119699,12965,+,12.69,6
,,,,,,,Rv0097,13.61,
,,,,,,,Rv0098,7.98,
,,,,,,,Rv0099,7.65,7.8
,,,,,,,Rv0100,17.09,17.4
,,,,,,,Rv0101,11.99,
,,,,,,,Rv0102,22.39,8.31
Rv0103c,119915,122173,2258,-,32.6,1
,,,,,,,Rv0103c,32.6,
Rv0104,122317,123831,1514,+,16.94,1
,,,,,,,Rv0104,16.94,
Rv0105c,123980,124264,284,-,2.17,1
,,,,,,,Rv0105c,2.17,
Rv0106,124374,125570,1196,+,7.84,1
,,,,,,,Rv0106,7.84,
Rv0107c,125643,130541,4898,-,32.92,1
,,,,,,,Rv0107c,32.92,
Rv0108c,130895,131104,209,-,802.37,1
,,,,,,,Rv0108c,802.37,
Rv0109,131382,133769,2387,+,6.13,1
,,,,,,,Rv0109,6.13,
Rv0110 - Rv0115,133020,139673,6653,+,26.06,6
,,,,,,,Rv0110,13.39,
,,,,,,,Rv0111,41.59,56.53
,,,,,,,Rv0112,22.94,29.44
,,,,,,,Rv0113,29.6,15.51
,,,,,,,Rv0114,17.59,22.34
,,,,,,,Rv0115,11.68,
Rv0116c,140267,141022,755,-,58.38,1
,,,,,,,Rv0116c,58.38,
Rv0117,141200,142144,944,+,15.15,1
,,,,,,,Rv0117,15.15,
Rv0118c,142128,143876,1748,-,14.22,1
,,,,,,,Rv0118c,14.22,
Rv0119,144049,145626,1577,+,15.81,1
,,,,,,,Rv0119,15.81,
Rv0120c,145627,147771,2144,-,37.43,1
,,,,,,,Rv0120c,37.43,
Rv0121c,147908,148342,434,-,15.92,1
,,,,,,,Rv0121c,15.92,
Rv0122 - Rv0123,148491,149224,733,+,13.05,2
,,,,,,,Rv0122,12.63,
,,,,,,,Rv0123,13.48,
